Population,Locality,Municipality,County,Latitude,Longitude,X-Sweref99TM,Y-Sweref99TM
11420,"Oxelösund",Oxelösund,Södermanland,58.6711,17.0826,620779.01,6505305.95
11410,"Ulricehamn",Ulricehamn,Västra Götaland,57.7882,13.4193,406022.88,6406222.35
11023,"Eksjö",Eksjö,Jönköping,57.6605,14.9685,498119.26,6390914.11
11003,"Älmhult",Älmhult,Kronoberg,56.5572,14.1368,446945.07,6268435.36
10989,"Arboga",Arboga,Västmanland,59.3953,15.8542,548513.56,6584383.4
10929,"Gällivare",Gällivare,Norrbotten,67.1438,20.6575,744942.84,7458564.06
10911,"Bjuv",Bjuv,Skåne,56.0685,12.9517,372488.09,6215596.51
10494,"Timrå",Timrå,Västernorrland,62.4966,17.3479,620948.78,6931706.02
10487,"Åhus",Kristianstad,Skåne,55.9268,14.297,456071.81,6198160.75
10269,"Gislaved",Gislaved,Jönköping,57.3027,13.5469,412448.46,6352021.38
10030,"Kävlinge",Kävlinge,Skåne,55.7961,13.114,381761.79,6184996.8
9916,"Bjärred",Lomma,Skåne,55.7168,13.0318,376361.23,6176319.8
9898,"Hallstahammar",Hallstahammar,Västmanland,59.6149,16.2355,569708.08,6609169.32
9814,"Sävja",Uppsala,Uppsala,59.815,17.7046,651668.47,6633900.82
9745,"Lindesberg",Lindesberg,Örebro,59.5904,15.1932,510907.87,6605811.56
9703,"Åstorp",Åstorp,Skåne,56.1364,12.9335,371584.3,6223188.75
9689,"Sigtuna",Sigtuna,Stockholm,59.6183,17.7213,653505.93,6612047.06
9517,"Saltsjöbaden",Nacka,Stockholm,59.2776,18.2919,687551.33,6575601.3
9485,"Bro",Upplands-Bro,Stockholm,59.5187,17.6374,649215.79,6600776.59
9444,"Torshälla",Eskilstuna,Södermanland,59.4337,16.4562,582603.51,6589253.05
9299,"Åmål",Åmål,Västra Götaland,59.0516,12.6963,367864.28,6548074.74
9255,"Alvesta",Alvesta,Kronoberg,56.9012,14.5526,472747.88,6306476.31
9241,"Säffle",Säffle,Värmland,59.1323,12.9169,380794.24,6556641.83
9223,"Landvetter",Härryda,Västra Götaland,57.6809,12.2155,333976.4,6396595.93
9124,"Hönö",Öckerö,Västra Götaland,57.7022,11.6449,300088.86,6400507.81
8874,"Klippan",Klippan,Skåne,56.1354,13.1545,385313.08,6222681.8
8838,"Bankeryd",Jönköping,Jönköping,57.8499,14.1162,447544.47,6412345.97
8832,"Sölvesborg",Sölvesborg,Blekinge,56.0476,14.5562,472353.4,6211465.99
8753,"Habo",Habo,Jönköping,57.9042,14.0855,445799.46,6418413.38
8660,"Lycksele",Lycksele,Västerbotten,64.5916,18.669,675579.93,7168016.56
8626,"Skurup",Skurup,Skåne,55.4893,13.503,405413.92,6150255.43
8614,"Tibro",Tibro,Västra Götaland,58.4173,14.157,450753.02,6475483.33
8593,"Knivsta",Knivsta,Uppsala,59.7264,17.7939,657091.93,6624249.76
8527,"Sollefteå",Sollefteå,Västernorrland,63.1692,17.2676,614175.72,7006460.67
8525,"Hallsberg",Hallsberg,Örebro,59.0741,15.0659,503777.12,6548301.47
8478,"Sjöbo",Sjöbo,Skåne,55.6313,13.6853,417231.04,6165833.42
8393,"Kalix",Kalix,Norrbotten,65.8582,23.1478,871016.53,7328233.63
8231,"Vimmerby",Vimmerby,Kalmar,57.6672,15.8524,550848.38,6391981.73
8146,"Tidaholm",Tidaholm,Västra Götaland,58.1789,13.9587,438758,6449096.6
8092,"Bromölla",Bromölla,Skåne,56.0789,14.4729,467193.27,6214987.66
7943,"Fisksätra",Nacka,Stockholm,59.2917,18.2549,685368.6,6577065.15
7862,"Nykvarn",Nykvarn,Stockholm,59.1717,17.442,639576.48,6561731.11
7836,"Kil",Kil,Värmland,59.521,13.2962,403601.87,6599300.64
7777,"Olofström",Olofström,Blekinge,56.2773,14.5299,470888.95,6237045.15
7758,"Osby",Osby,Skåne,56.3796,13.9974,438082.86,6248776.17
7728,"Lysekil",Lysekil,Västra Götaland,58.2817,11.4521,291994.45,6465552.9
7692,"Hörby",Hörby,Skåne,55.8468,13.6623,416245.12,6189839.76
7597,"Hedemora",Hedemora,Dalarna,60.2809,15.9809,554249.24,6683097.59
7547,"Söderköping",Söderköping,Östergötland,58.4775,16.3315,577651.55,6482642.54
7470,"Strömstad",Strömstad,Västra Götaland,58.9465,11.1965,281216.29,6540319.13
7452,"Skanör med Falsterbo",Vellinge,Skåne,55.402,12.843,363412.18,6141644.8
7295,"Trosa",Trosa,Södermanland,58.8971,17.5557,647244.67,6531411.04
7281,"Degerfors",Degerfors,Örebro,59.2384,14.4274,467330.39,6566734.36
7239,"Tomelilla",Tomelilla,Skåne,55.551,13.9483,433652.62,6156612.7
7209,"Ljusdal",Ljusdal,Gävleborg,61.8306,16.0712,556418.56,6855775.82
7157,"Åby",Norrköping,Östergötland,58.6671,16.1686,567781.54,6503571.14
7075,"Vellinge",Vellinge,Skåne,55.4669,13.0175,374666.37,6148531.72
6934,"Åtvidaberg",Åtvidaberg,Östergötland,58.1993,15.9955,558512.34,6451334.97
6922,"Laholm",Laholm,Halland,56.5045,13.0329,378927.82,6263965.69
6881,"Kramfors",Kramfors,Västernorrland,62.9215,17.7723,640767.71,6979873.36
6876,"Vi",Sundsvall,Västernorrland,62.4109,17.4165,624839.02,6922294.78
6844,"Simrishamn",Simrishamn,Skåne,55.5495,14.335,458041.77,6156143.45
6842,"Valbo",Gävle,Gävleborg,60.649,17.0226,610584.89,6725389.01
6838,"Dalby",Lund,Skåne,55.6652,13.3593,396794.66,6170034.77
6785,"Ljungsbro",Linköping,Östergötland,58.5066,15.5049,529421.13,6485229.36
6765,"Gråbo",Lerum,Västra Götaland,57.8368,12.296,339464.98,6413746.26
6707,"Löddeköpinge",Kävlinge,Skåne,55.7614,13.0069,374942.03,6181327.26
6653,"Nora",Nora,Örebro,59.5132,15.0299,501692.16,6597200.48
6583,"Haparanda",Haparanda,Norrbotten,65.8542,24.1041,914393.5,7333788.17
6577,"Flen",Flen,Södermanland,59.0604,16.5916,591276.85,6547860.07
6573,"Södra Sandby",Lund,Skåne,55.7201,13.3471,396171.67,6176161.42
6499,"Skutskär",Älvkarleby,Uppsala,60.6313,17.3764,629995.4,6724070.78
6490,"Surte",Ale,Västra Götaland,57.8369,12.0178,322956.75,6414452.11
6480,"Rydebäck",Helsingborg,Skåne,55.9655,12.7747,361100.69,6204479.13
6479,"Åsa",Kungsbacka,Halland,57.3505,12.131,327388.74,6360040.54
6448,"Forshaga",Forshaga,Värmland,59.5306,13.485,414305.71,6600117.77
6421,"Surahammar",Surahammar,Västmanland,59.7055,16.2231,568825.58,6619247.45
6402,"Leksand",Leksand,Dalarna,60.7319,15.0304,501658.65,6732926.07
6376,"Gnesta",Gnesta,Södermanland,59.0472,17.3046,632204.14,6547583.27
6366,"Älvängen",Ale,Västra Götaland,57.9581,12.1238,329824.9,6427663.15
6360,"Storvreta",Uppsala,Uppsala,59.9569,17.7054,651067.32,6649695.04
6359,"Åkarp",Burlöv,Skåne,55.6548,13.1158,381448.46,6169266.09
6357,"Hjo",Hjo,Västra Götaland,58.303,14.2762,457577.69,6462670.22
6260,"Tierp",Tierp,Uppsala,60.3475,17.5137,638713.6,6692755.77
6248,"Filipstad",Filipstad,Värmland,59.706,14.1611,452796.47,6618973.43
6200,"Hofors",Hofors,Gävleborg,60.5435,16.2948,571027.62,6712635.59
6197,"Kungsör",Kungsör,Västmanland,59.4217,16.1087,562915.19,6587531.81
6153,"Järna",Södertälje,Stockholm,59.087,17.561,646742.98,6552556.04
6151,"Vaxholm",Vaxholm,Stockholm,59.4085,18.3179,688307.86,6590231.46
6130,"Färjestaden",Mörbylånga,Kalmar,56.6473,16.4857,591100.62,6279114.97
6091,"Perstorp",Perstorp,Skåne,56.136,13.397,400377.67,6222371.76
6050,"Orsa",Orsa,Dalarna,61.0996,14.6503,481145.79,6773933.17
6046,"Holmsund",Umeå,Västerbotten,63.7009,20.3717,765309,7074844.02
5977,"Lindsdal",Kalmar,Kalmar,56.7305,16.2932,579120.56,6288137.5
5883,"Påarp",Helsingborg,Skåne,56.0201,12.7967,362666.43,6210502.47
5863,"Vårgårda",Vårgårda,Västra Götaland,58.0358,12.8094,370660.33,6434796.28
5834,"Fristad",Borås,Västra Götaland,57.8138,13.0102,381786.69,6409714.12
5807,"Ödåkra",Helsingborg,Skåne,56.1001,12.7532,360248.12,6219493.17
5755,"Mullsjö",Mullsjö,Jönköping,57.9151,13.8771,433472.5,6419805.01
5734,"Vadstena",Vadstena,Östergötland,58.4461,14.8943,493831.18,6478379.64
5704,"Båstad",Båstad,Skåne,56.4273,12.8554,367739.78,6255697.4
5675,"Hjärup",Staffanstorp,Skåne,55.6702,13.1436,383246.08,6170934.79
5675,"Hultsfred",Hultsfred,Kalmar,57.4943,15.8411,550415.78,6372718.86
5613,"Vaggeryd",Vaggeryd,Jönköping,57.4971,14.1357,448199.64,6373050.91
5605,"Sävsjö",Sävsjö,Jönköping,57.3948,14.664,479806.95,6361381.41
5575,"Veberöd",Lund,Skåne,55.6293,13.4972,405384.79,6165852.23
5534,"Örkelljunga",Örkelljunga,Skåne,56.2855,13.2942,394406.02,6239168.14
5441,"Skåre",Karlstad,Värmland,59.4375,13.4329,411114.66,6589814.69
5322,"Rättvik",Rättvik,Dalarna,60.8691,15.1078,505854.55,6748216.78
5235,"Smedjebacken",Smedjebacken,Dalarna,60.1466,15.3788,521033.31,6667793.99
5223,"Rimbo",Norrtälje,Stockholm,59.7459,18.3511,688293.5,6627876.15
5202,"Anderstorp",Gislaved,Jönköping,57.2807,13.6271,417228.64,6349470.66
5198,"Lindö",Norrköping,Östergötland,58.6062,16.2557,572959.58,6496881.8
5186,"Mönsterås",Mönsterås,Kalmar,57.0398,16.4487,587907.24,6322749.59
5150,"Skiftinge",Eskilstuna,Södermanland,59.3939,16.5439,587679.51,6584930.1
5140,"Kvissleby",Sundsvall,Västernorrland,62.3009,17.378,623301.78,6909972.02
5127,"Krokek",Norrköping,Östergötland,58.677,16.3703,579458.79,6504901.69
5123,"Markaryd",Markaryd,Kronoberg,56.4637,13.5913,413202.75,6258574.13
5113,"Sunne",Sunne,Värmland,59.84,13.1427,395914.5,6635054.78
5081,"Götene",Götene,Västra Götaland,58.5222,13.4539,409951.46,6487885.94
5057,"Alsike",Knivsta,Uppsala,59.7533,17.772,655736.22,6627188.99
5054,"Emmaboda",Emmaboda,Kalmar,56.6278,15.5508,533791.58,6276092.03
5046,"Älvsbyn",Älvsbyn,Norrbotten,65.6792,21.0101,775863.43,7297348.85
5037,"Grums",Grums,Värmland,59.3531,13.1095,392507.16,6580900.49
5014,"Malung",Malung-Sälen,Dalarna,60.6765,13.6968,428802.63,6727463.14
5003,"Vargön",Vänersborg,Västra Götaland,58.3595,12.4072,348306.42,6471653.86
4976,"Östhammar",Östhammar,Uppsala,60.2589,18.3611,685953.25,6684981.27
4963,"Malmslätt",Linköping,Östergötland,58.4164,15.5111,529856.83,6475182.53
4841,"Kallinge",Ronneby,Blekinge,56.2502,15.2892,517919.14,6233964.33
4838,"Tyringe",Hässleholm,Skåne,56.1593,13.6021,413180.91,6224688.52
4836,"Gammelstaden",Luleå,Norrbotten,65.6262,22.0231,822878.55,7296302.01
4821,"Öjersjö",Partille,Västra Götaland,57.6987,12.1261,328733.59,6398793.31
4743,"Smögen, Kungshamn och Väjern",Sotenäs,Västra Götaland,58.3697,11.2328,279695.33,6476037.33
4741,"Vingåker",Vingåker,Södermanland,59.0496,15.8787,550410.44,6545904.12
4741,"Hallstavik",Norrtälje,Stockholm,60.0463,18.5964,700250.09,6662015.35
4740,"Töreboda",Töreboda,Västra Götaland,58.7067,14.1322,449721.98,6507722.21
4736,"Hagfors",Hagfors,Värmland,60.0327,13.6936,427207.8,6655773.42
4731,"Säter",Säter,Dalarna,60.3374,15.7405,540882.39,6689215.2
4669,"Furulund",Kävlinge,Skåne,55.7727,13.0907,380231.02,6182437.82
4628,"Hittarp",Helsingborg,Skåne,56.0925,12.6505,353834.95,6218867.85
4606,"Viken",Höganäs,Skåne,56.1498,12.5805,349704.46,6225387.41
4577,"Bollebygd",Bollebygd,Västra Götaland,57.6739,12.5635,354694.03,6395012.95
4567,"Vännäs",Vännäs,Västerbotten,63.9053,19.7415,732540.35,7095104.04
4560,"Smålandsstenar",Gislaved,Jönköping,57.1589,13.4062,403597.13,6336198.25
4535,"Taberg",Jönköping,Jönköping,57.6708,14.0802,445133.78,6392436.05
4520,"Norberg",Norberg,Västmanland,60.0826,15.9474,552709.78,6660983.59
4474,"Gnosjö",Gnosjö,Jönköping,57.3525,13.7395,424156.86,6357333.36
4459,"Hällefors",Hällefors,Örebro,59.783,14.5167,472867.07,6627340.55
